,Vaccine,# of countries use vaccine
0,Anhui ZL - Zifivax,3
1,AstraZeneca - AZD1222,7
2,AstraZeneca - Vaxzevria,139
3,Beijing CNBG - BBIBP-CorV,99
4,Bharat - Covaxin,33
5,Biological E - Corbevax,1
6,CIGB - CIGB-66,4
7,CanSino - Convidecia,28
8,Chumakov - Covi-Vac,1
9,Finlay - Soberana Plus,2
10,Finlay - Soberana-02,4
11,Gamaleya - Gam-Covid-Vac,68
12,Gamaleya - Sputnik V,2
13,Gamaleya - Sputnik-Light,31
14,IMB - Covidful,1
15,Janssen - Ad26.COV 2-S,122
16,Julphar - Hayat-Vax,3
17,Moderna,1
18,Moderna - Spikevax,122
19,Moderna - mRNA-1273,6
20,Moderna â€“ Spikevax Bivalent Original/Omicron - Generic,1
21,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,6
22,Novavax - Covavax,1
23,Novavax-NUVAXOVID,30
24,Pfizer BioNTech - Comirnaty,171
25,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - Generic,1
26,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - BA.1,9
27,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - BA.4/BA.5,7
28,Pfizer/BioNTech,1
29,RIBSP - QazVac,3
30,SII - Covishield,91
31,SII - Covovax,2
32,SRCVB - EpiVacCorona,2
33,Shenzhen - LV-SMENP-DC,1
34,Shifa - COVIran Barakat,1
35,Sinovac - CoronaVac,63
36,Turkovac,1
37,Unknown Vaccine,15
38,Valneva - VLA2001,2
39,Wuhan CNBG - Inactivated,3
40,Zydus - ZyCov-D,1
